No.,School,Games,Attendance ,Average
1,Michigan,7,"781,144",111592
2,Ohio St.,7,"734,528",104993
3,Alabama,7,"710,538",101505
4,Texas,6,"593,857",98976
5,Penn St.,7,"676,112",96587
6,Tennessee,7,"669,087",95584
7,Georgia,6,"556,476",92746
8,LSU,7,"639,927",91418
9,Nebraska,8,"727,466",90933
10,Florida,6,"524,638",87440
11,Texas A&M,8,"697,003",87125
12,Auburn,8,"685,252",85657
13,Oklahoma,6,"508,334",84722
14,South Carolina,7,"576,805",82401
15,Clemson,7,"574,333",82048
16,Notre Dame,6,"484,770",80795
17,Wisconsin,7,"552,378",78911
18,Florida St.,7,"527,947",75421
19,Southern California,7,"511,885",73126
20,Michigan St.,7,"506,294",72328
21,UCLA,6,"421,711",70285
22,Washington,7,"481,384",68769
23,Iowa,7,"469,872",67125
24,Virginia Tech,6,"383,993",63999
25,Missouri,7,"444,532",63505
26,Arizona St.,8,"501,509",62689
27,Arkansas,7,"431,174",61596
28,BYU,6,"367,349",61225
29,Kentucky,7,"416,303",59472
30,Ole Miss,7,"415,750",53393
