No.,School,Games,Attendance ,Average
1,Ohio St.,7,"744,075",106296
2,Texas A&M,6,"630,735",105123
3,Michigan,7,"734,364",104904
4,LSU,7,"712,063",101723
5,Penn St.,7,"711,358",101623
6,Alabama,7,"710,736",101534
7,Tennessee,7,"698,276",99754
8,Texas,6,"564,618",94103
9,Georgia,7,"649,222",92746
10,Nebraska,7,"638,744",91249
11,Auburn,7,"612,157",87451
12,Florida,6,"515,001",85834
13,Oklahoma,6,"510,972",85162
14,Florida St.,7,"575,478",82211
15,Clemson,7,"572,262",81752
16,South Carolina,7,"569,664",81381
17,Notre Dame,6,"484,770",80795
18,Wisconsin,7,"556,642",79520
19,UCLA,6,"459,901",76650
20,Michigan St.,7,"522,765",74681
21,Southern California,6,"439,630",73272
22,Iowa,7,"472,584",67512
23,Arkansas,6,"399,124",6521
24,Missouri,7,"456,996",65285
25,Washington,7,"451,555",64508
26,Ole Miss,7,"430,829",61547
27,Virginia Tech,7,"428,099",61157
28,Mississippi St.,7,"427,892",61127
29,Texas Tech,6,"353,603",58934
30,Kentucky,7,"403,002",57572
