Date,Viewers,Away,Home,Network
"Thu., 8/30/12",4.1M,South Carolina,Vanderbilt,ESPN
"Thu., 8/30/12",2.2M,Wash. St.,BYU,ESPN
"Fri., 8/31/12",4.2M,Boise St.,Michigan St.,ESPN
"Fri., 8/31/12",1.5M,Tennessee,N.C. State,ESPNU
"Sat., 9/1/12",7.9M,Alabama,Michigan,ABC
"Sat., 9/1/12",3.5M,Ohio,Penn State,ESPN
"Sat., 9/1/12",3.5M,Miami,Boston College,ABC
"Sat., 9/1/12",3.5M,Southern Miss.,Nebraska,ABC
"Sat., 9/1/12",3.6M,Clemson,Auburn,ESPN
"Sat., 9/1/12",2.8M,Bowling Green,Florida,ESPN
"Sat., 9/1/12",2.0M,Ark. State,Oregon,ESPN
"Sat., 9/1/12",1.8M,Hawaii,USC,FOX
"Sat., 9/1/12",,Notre Dame,Navy,CBS
"Sun., 9/2/12",2.4M,Kentucky,Louisville,ESPN
"Mon.,9/3/12",4.3M,Ga. Tech,Va. Tech,ESPN
"Thu., 9/6/12",2.2M,Pittsburgh,Cincinnati,ESPN
"Fri., 9/7/12",1.6M,Utah,Utah State,ESPN2
"Sat., 9/8/12",4.7M,USC,Syracuse,ABC
"Sat., 9/8/12",4.7M,Air Force,Michigan,ABC
"Sat., 9/8/12",4.5M,Florida,Texas A&M,ESPN
"Sat., 9/8/12",4.3M,Nebraska,UCLA,FOX
"Sat., 9/8/12",4.1M,Georgia,Missouri,ESPN2
"Sat., 9/8/12",2.8M,Penn State,Virginia,ABC
"Sat., 9/8/12",2.8M,Purdue,Notre Dame,NBC
"Sat., 9/8/12",2.9M,Washington,LSU,ESPN
"Sat., 9/8/12",2.5M,Auburn,Mississippi St.,ESPN
"Sat., 9/8/12",2.2M,UCF,Ohio State,ESPN2
"Thu., 9/13/12",1.3M,Rutgers,USF,ESPN
"Fri., 9/14/12",1.4M,Washington St.,UNLV,ESPN
"Sat., 9/15/12",5.0M,Notre Dame,Michigan St.,ABC
"Sat., 9/15/12",,Alabama,Arkansas,CBS
"Sat., 9/15/12",5.1M,Florida,Tennessee,ESPN
"Sat., 9/15/12",3.8M,Cal,Ohio State,ABC
"Sat., 9/15/12",3.9M,USC,Stanford,FOX
"Sat., 9/15/12",2.7M,Penn State,Navy,ABC
"Sat., 9/15/12",2.7M,UNC,Louisville,ABC
"Sat., 9/15/12",2.4M,Texas,Mississippi,ESPN
"Thu., 9/20/12",2.1M,BYU,Boise State,ESPN
"Fri., 9/21/12",2.2M,Baylor,UL-Monroe,ESPN
