Date,Viewers,Away,Home,Network,
8/29/2013,3.65M,North Carolina,South Carolina,ESPN,
8/29/2013,2.74M,Mississippi,Vanderbilt,ESPN,
8/29/2013,311K,Utah State,Utah,FS1,
8/29/2013,241K,Rutgers,Fresno State,ESPNU,
8/29/2013,199K,Tulsa,Bowling Green,ESPNU,
8/30/2013,2.13M,Texas Tech,SMU,ESPN,
8/30/2013,585K,North Dakota St.,Kansas State,FS1,
8/30/2013,541K,Florida Atlantic,Miami,ESPNU,
8/31/2013,8.14M,Georgia,Clemson,ABC,
8/31/2013,5.17M,Alabama,Virginia Tech,ESPN,
8/31/2013,4.21M,Rice,Texas A&M,ESPN,
8/31/2013,3.67M,Mississippi State,Oklahoma State,ABC,
8/31/2013,,Syracuse,Penn State,,
8/31/2013,3.17M,LSU,TCU,ESPN,
8/31/2013,2.50M,Temple,Notre Dame,NBC,
8/31/2013,1.89M,Buffalo,Ohio State,ESPN2,
8/31/2013,922K,Washington State,Auburn,ESPNU,
8/31/2013,714K,Northwestern,Cal,ESPN2,
8/31/2013,710K,Boise State,Washington,FS1,
8/31/2013,654K,Reverse mirror of ABC window,,ESPN2,
8/31/2013,493K,William & Mary,West Virginia,FS1,
8/31/2013,412K,Nicholls State,Oregon,FS1,
8/31/2013,328K,Purdue,Cincinnati,ESPNU,
8/31/2013,299K,BYU,Virginia,ESPNU,
9/1/2013,1.76M,Ohio,Louisville,ESPN,
9/2/2013,4.47M,FSU,Pittsburgh,ESPN,
9/5/2013,181K,FAU,ECU,FS1,
9/6/2013,1.09M,Wake Forest,Boston College,ESPN2,
9/7/2013,8.65M,Notre Dame,Michigan,ESPN,
9/7/2013,7.05M,South Carolina,Georgia,ESPN,
9/7/2013,4.60M,Florida,Miami,ESPN,
9/7/2013,4.08M,Oregon,Virginia,ABC,
9/7/2013,,San Diego State,Ohio State,,
9/7/2013,3.43M,West Virginia,Oklahoma,FOX,
9/7/2013,1.29M,Texas,BYU,ESPN2,
9/7/2013,920K,Reverse mirror of ABC window,,ESPN2,
9/7/2013,825K,Washington State,USC,FS1,
9/7/2013,659K,UAB,LSU,ESPNU,
9/7/2013,576K,USF,Michigan State,ESPNU,
9/7/2013,553K,Cincinnati,Illinois,ESPN2,
9/7/2013,347K,Oklahoma State,Texas-San Antonio,FS1,
9/7/2013,326K,Toledo,Missouri,ESPNU,
9/7/2013,315K,UL-Lafayette,Kansas State,FS1,
9/7/2013,189K,Toledo,Missouri,ESPNEWS,
9/7/2013,123K,Old Dominion,Maryland,ESPNEWS,
9/12/2013,2.28M,TCU,Texas Tech,ESPN,
9/12/2013,137K,Troy,Arkansas State,ESPNU,
9/12/2013,124K,Tulane,Louisiana Tech,FS1,
9/13/2013,2.00M,Air Force,Boise State,ESPN,
9/14/2013,13.59M,Alabama,Texas A&M,CBS,
9/14/2013,4.79M,Notre Dame,Purdue,ABC,
9/14/2013,4.19M,UCLA,Nebraska,ABC,
9/14/2013,3.25M,Ohio State,Cal,FOX,
9/14/2013,3.16M,Tennessee,Oregon,ABC,
9/14/2013,2.53M,Wisconsin,Arizona State,ESPN,
9/14/2013,2.28M,Louisville,Kentucky,ESPN,
9/14/2013,1.88M,Vanderbilt,South Carolina,ESPN,
9/14/2013,1.86M,Mississippi St.,Auburn,ESPN2,
9/14/2013,1.07M,Nevada,FSU,ESPN,
9/14/2013,1.03M,Tulsa,Oklahoma,ESPN2,
9/14/2013,601K,Kent State,LSU,ESPNU,
9/14/2013,567K,Iowa,Iowa State,FS1,
9/14/2013,396K,Oregon State,Utah,FS1,
9/14/2013,347K,Virginia Tech,ECU,FS1,
9/14/2013,195K,Bowling Green,Indiana,ESPNU,
9/14/2013,161K,Georgia Tech,Duke,ESPNU,
9/14/2013,86K,Marshall,Ohio,ESPNEWS,
9/19/2013,2.60M,Clemson,N.C. State,ESPN,
9/20/2013,2.12M,Boise State,Fresno State,ESPN,
9/21/2013,5.73M,Michigan,UConn,ABC,
9/21/2013,,Kansas State,Texas,,
9/21/2013,4.79M,Michigan State,Notre Dame,NBC,
9/21/2013,N/A,Tennessee,Florida,CBS,
9/21/2013,3.80M,Auburn,LSU,ESPN,
9/21/2013,2.78M,Purdue,Wisconsin,ABC,
9/21/2013,,Utah State,USC,,
9/21/2013,2.33M,North Carolina,Georgia Tech,ESPN,
9/21/2013,2.78M,Colorado State,Alabama,ESPN2,
9/21/2013,1.89M,Arizona State,Stanford,FOX,
9/21/2013,1.62M,Arkansas,Rutgers,ESPN,
9/21/2013,1.26M,Utah,BYU,ESPN2,
9/21/2013,809K,SMU,Texas A&M,ESPNU,
9/21/2013,738K,Marshall,Va. Tech,ESPNU,
9/21/2013,638K,San Jose State,Minnesota,ESPN2,
9/21/2013,599K,West Virginia,Maryland,ESPNU,
9/21/2013,415K,Reverse mirror of ABC window,,ESPN2,
9/21/2013,289K,La. Tech,Kansas,FS1,
9/21/2013,271K,Wyoming,Air Force,ESPNU,
9/21/2013,174K,Vanderbilt,UMass,ESPNEWS,
9/21/2013,159K,UL-Monroe,Baylor,FS1,
9/26/2013,2.31M,Va. Tech,Ga. Tech,ESPN,
9/26/2013,244K,Iowa State,Tulsa,FS1,
9/26/2013,60K,Howard,N.C. A&T,ESPNU,
9/27/2013,838K,Utah State,San Jose State,ESPN,
9/27/2013,313K,Mid. Tennessee,BYU,ESPNU,
