Date,Viewers,Away,Home,,Network
12/20/2014,2.25M,Nevada,UL-Lafayette,,ESPN
12/20/2014,,New Orleans Bowl,,,
12/20/2014,2.12M,Utah,Colorado State,,ABC
12/20/2014,,Las Vegas Bowl,,,
12/20/2014,1.92M,Utah State,UTEP,,ESPN
12/20/2014,,New Mexico Bowl,,,
12/20/2014,1.45M,Western Michigan,Air Force,,ESPN
12/20/2014,,Famous Idaho Potato Bowl,,,
12/20/2014,1.11M,So. Alabama,Bowling Green,,ESPN
12/20/2014,,Camellia Bowl,,,
12/22/2014,1.32M,BYU,Memphis,,ESPN
12/22/2014,,Miami Beach Bowl,,,
12/23/2014,2.46M,Navy,San Diego State,,ESPN
12/23/2014,,Poinsettia Bowl,,,
12/23/2014,2.25M,Marshall,No. Illinois,,ESPN
12/23/2014,,Boca Raton Bowl,,,
12/24/2014,1.91M,Fresno State,Rice,,ESPN
12/24/2014,,Hawaii Bowl,,,
12/24/2014,1.50M,Cent. Michigan,W. Kentucky,,ESPN
12/24/2014,,Bahamas Bowl,,,
12/26/2014,3.27M,N.C. State,UCF,,ESPN
12/26/2014,,St. Petersburg Bowl,,,
12/26/2014,2.87M,Rutgers,UNC,,ESPN
12/26/2014,,Detroit Lions Bowl,,,
12/26/2014,2.34M,Illinois,La. Tech,,ESPN
12/26/2014,,Heart of Dallas Bowl,,,
12/27/2014,6.80M,Nebraska,USC,,ESPN
12/27/2014,,Holiday Bowl,,,
12/27/2014,4.11M,Miami,South Carolina,,ABC
12/27/2014,,Independence Bowl,,,
12/27/2014,3.96M,Boston College,Penn State,,ESPN
12/27/2014,,Pinstripe Bowl,,,
12/27/2014,3.56M,Arizona State,Duke,,CBS
12/27/2014,,Sun Bowl,,,
12/27/2014,2.92M,Cincinnati,Virginia Tech,,ESPN
12/27/2014,,Military Bowl,,,
12/29/2014,5.76M,Arkansas,Texas,,ESPN
12/29/2014,,Texas Bowl,,,
12/29/2014,4.90M,Oklahoma,Clemson,,ESPN
12/29/2014,,Russell Athletic Bowl,,,
12/29/2014,3.30M,Texas A&M,West Virginia,,ESPN
12/29/2014,,Liberty Bowl,,,
12/30/2014,6.41M,Georgia,Louisville,,ESPN
12/30/2014,,Belk Bowl,,,
12/30/2014,5.32M,Notre Dame,LSU,,ESPN
12/30/2014,,Music City Bowl,,,
12/30/2014,3.24M,Maryland,Stanford,,ESPN
12/30/2014,,San Francisco Bowl,,,
12/31/2014,8.94M,Miss. State,Georgia Tech,,ESPN
12/31/2014,,Orange Bowl,,,
12/31/2014,7.41M,Boise State,Arizona,,ESPN
12/31/2014,,Fiesta Bowl,,,
12/31/2014,5.01M,Mississippi,TCU,,ESPN
12/31/2014,,Peach Bowl,,,
1/1/2015,28.27M,Ohio State,Alabama,,ESPN
1/1/2015,,Sugar Bowl (Semifinal #2),,,
1/1/2015,28.16M,FSU,Oregon,,ESPN
1/1/2015,,Rose Bowl (Semifinal #1),,,
1/1/2015,9.09M,Michigan State,Baylor,,ESPN
1/1/2015,,Cotton Bowl,,,
1/1/2015,6.42M,Auburn,Wisconsin,,ESPN2
1/1/2015,,Outback Bowl,,,
1/1/2015,6.12M,Missouri,Minnesota,,ABC
1/1/2015,,Citrus Bowl,,,
1/2/2015,5.60M,UCLA,Kansas State,,ESPN
1/2/2015,,Alamo Bowl,,,
1/2/2015,4.11M,Tennessee,Iowa,,ESPN
1/2/2015,,Gator Bowl,,,
1/2/2015,4.03M,Oklahoma St.,Washington,,ESPN
1/2/2015,,Cactus Bowl,,,
1/2/2015,2.11M,Houston,Pittsburgh,,ESPN
1/2/2015,,Armed Forces Bowl,,,
1/3/2015,4.48M,Florida,ECU,,ESPN
1/3/2015,,Birmingham Bowl,,,
1/4/2015,1.37M,Toledo,Arkansas State,,ESPN
1/4/2015,,GoDaddy Bowl,,,
1/12/2015,34.15M,Ohio State,Oregon,,ESPN ‘Megacast’
1/12/2015,,National Championship Game,,,
12/13/2014,6.26M,Army,Navy,,CBS
12/4/2014,1.04M,UCF,ECU,,ESPN
12/5/2014,6.00M,Arizona,Oregon,,FOX
12/5/2014,,Pac-12 Championship Game,,,
12/5/2014,692K,Bowling Green,No. Illinois,,ESPN2
12/5/2014,,MAC Championship Game,,,
12/6/2014,12.80M,Alabama,Missouri,,CBS
12/6/2014,,SEC Championship Game,,,
12/6/2014,10.15M,Georgia Tech,FSU,,ABC
12/6/2014,,ACC Championship Game,,,
12/6/2014,6.13M,Wisconsin,Ohio State,,FOX
12/6/2014,,Big Ten Championship Game,,,
12/6/2014,4.09M,Iowa State,TCU,,ABC
12/6/2014,2.17M,Kansas State,Baylor,,ESPN
12/6/2014,1.53M,Fresno St.,Boise St.,,CBS
12/6/2014,,Mountain West Championship,,,
12/6/2014,1.31M,Houston,Cincinnati,,ESPN
12/6/2014,1.15M,Oklahoma,Oklahoma State,,FS1
12/6/2014,725K,La. Tech,Marshall,,ESPN2
12/6/2014,,CUSA Championship Game,,,
12/6/2014,209K,Temple,Tulane,,ESPN2
12/6/2014,190K,Alcorn State,Southern,,ESPNU
12/6/2014,,SWAC Championship Game,,,
11/25/2014,564K,Ohio,Miami (OH),,ESPN2
11/27/2014,2.91M,LSU,Texas A&M,,ESPN
11/27/2014,1.31M,TCU,Texas,,FS1
11/28/2014,4.40M,Arkansas,Missouri,,CBS
11/28/2014,3.91M,Nebraska,Iowa,,ABC
11/28/2014,2.93M,Stanford,UCLA,,ABC
11/28/2014,3.05M,Virginia,Virginia Tech,,ESPN
11/28/2014,2.11M,Arizona State,Arizona,,FOX
11/28/2014,463K,W. Kentucky,Marshall,,FS1
11/28/2014,447K,UCF,USF,,ESPN2
11/28/2014,211K,No. Illinois,W. Michigan,,ESPNU
11/28/2014,165K,ECU,Tulsa,,ESPNU
11/29/2014,13.53M,Auburn,Alabama,,ESPN
11/29/2014,8.23M,Michigan,Ohio State,,ABC
11/29/2014,5.96M,Florida,FSU,,ESPN
11/29/2014,5.16M,Mississippi St.,Mississippi,,CBS
11/29/2014,4.00M,Baylor,Texas Tech or Michigan St.,Penn St.,ABC
11/29/2014,3.30M,Oregon,Oregon State,,ABC
11/29/2014,2.02M,South Carolina,Clemson,,ESPN
11/29/2014,2.00M,Notre Dame,USC,,FOX
11/29/2014,1.03M,Grambling,Southern,,NBC
11/29/2014,809K,Kentucky,Louisville,,ESPN2
11/29/2014,781K,Washington,Washington St.,,FS1
11/29/2014,678K,Pittsburgh,Miami,,ESPN2
11/29/2014,427K,Utah State,Boise State,,ESPN2
11/29/2014,489K,West Virginia,Iowa State,,FS1
11/29/2014,390K,ABC reverse mirror,,,ESPN2
11/29/2014,274K,Kansas,Kansas State,,FS1
11/29/2014,252K,Illinois,Northwestern,,ESPNU
11/29/2014,198K,Nevada,UNLV,,ESPNU
11/29/2014,178K,Rutgers,Maryland,,ESPNU
11/29/2014,148K,Wake Forest,Duke,,ESPNU
11/29/2014,75K,Cincinnati,Temple,,ESPNEWS
11/29/2014,65K,UConn,Memphis,,ESPNEWS
11/18/2014,278K,No. Illinois,Ohio,,ESPNU
11/19/2014,556K,Bowling Green,Toledo,,ESPN2
11/20/2014,1.44M,North Carolina,Duke,,ESPN
11/20/2014,967K,Kansas St.,West Virginia,,FS1
11/20/2014,187K,Arkansas St.,Texas St.,,ESPNU
11/21/2014,391K,San Jose St.,Utah State,,ESPN2
11/21/2014,277K,UTEP,Rice,,FS1
11/22/2014,5.65M,Boston College,FSU or Wisconsin,Iowa,ABC
11/22/2014,4.85M,USC,UCLA,,ABC
11/22/2014,3.36M,Minnesota,Nebraska,,ESPN
11/22/2014,3.34M,Mississippi,Arkansas,,CBS
11/22/2014,3.09M,Louisville,Notre Dame,,NBC
11/22/2014,3.32M,Missouri,Tennessee,,ESPN
11/22/2014,2.17M,Oklahoma St.,Baylor,,FOX
11/22/2014,1.23M,Arizona,Utah,,ESPN
11/22/2014,1.13M,Miami,Virginia,,ESPN2
11/22/2014,977K,Penn State,Illinois,,ESPN2
11/22/2014,792K,ABC reverse mirror,,,ESPN2
11/22/2014,727K,Kansas,Oklahoma,,FS1
11/22/2014,818K,Samford,Auburn,,ESPNU
11/22/2014,556K,Boise State,Wyoming,,ESPN2
11/22/2014,423K,Stanford,Cal,,FS1
11/22/2014,338K,Yale,Harvard,,NBCSN
11/22/2014,280K,Fresno State,Nevada,,ESPNU
11/22/2014,166K,Syracuse,Pittsburgh,,ESPNU
11/22/2014,138K,Northwestern,Purdue,,ESPNU
11/22/2014,113K,SMU,UCF,,ESPNEWS
11/11/2014,600K,Toledo,No. Illinois,,ESPN2
11/11/2014,145K,Akron,Buffalo,,ESPNU
11/12/2014,440K,Kent St.,Bowling Green,,ESPN2
11/12/2014,243K,Ball St.,UMass,,ESPNU
11/13/2014,1.27M,Cal,USC,,ESPN
11/13/2014,821K,ECU,Cincinnati,,ESPN2
11/14/2014,738K,Tulsa,UCF,,ESPN2
11/15/2014,10.27M,Mississippi St.,Alabama,,CBS
11/15/2014,8.74M,FSU,Miami,,ABC
11/15/2014,5.73M,Ohio State,Minnesota,,ABC
11/15/2014,4.61M,Auburn,Georgia,,ESPN
11/15/2014,4.03M,Nebraska,Wisconsin,,ABC
11/15/2014,2.96M,Northwestern,Notre Dame,,NBC
11/15/2014,1.81M,Clemson,Ga. Tech,,ESPN
11/15/2014,1.87M,Arizona St.,Oregon St.,,ESPN
11/15/2014,2.03M,Texas,Oklahoma State,,FOX
11/15/2014,1.85M,LSU,Arkansas,,ESPN2
11/15/2014,1.36M,Oklahoma,Texas Tech,,ESPN
11/15/2014,1.03M,Washington,Arizona,,FOX
11/15/2014,817K,Temple,Penn St.,,ESPN2
11/15/2014,633K,Va. Tech,Duke,,ESPNU
11/15/2014,649K,TCU,Kansas,,FS1
11/15/2014,433K,SDSU,Boise St.,,ESPNU
11/15/2014,235K,UNLV,BYU,,ESPNU
11/15/2014,95K,Memphis,Tulane,,ESPNU
11/15/2014,75K,North Texas,UTEP,,FS1
11/15/2014,60K,New Mexico,Utah State,,ESPNEWS
11/4/2014,340K,Bowling Green,Akron,,ESPN2
11/4/2014,113K,Toledo,Kent State,,ESPNU
11/5/2014,533K,No. Illinois,Ball St.,,ESPN2
11/5/2014,81K,Buffalo,Ohio,,ESPNU
11/6/2014,1.90M,Clemson,Wake Forest,,ESPN
11/7/2014,603K,Utah St.,Wyoming,,ESPN2
11/7/2014,307K,Memphis,Temple,,ESPNU
11/8/2014,9.11M,Alabama,LSU,,CBS
11/8/2014,7.21M,Texas A&M,Auburn,,CBS
11/8/2014,6.83M,Ohio State,Michigan St.,,ABC
11/8/2014,4.67M,Notre Dame,Arizona State,,ABC
11/8/2014,2.74M,Georgia,Kentucky,,ESPN
11/8/2014,2.70M,Oregon,Utah,,ESPN
11/8/2014,2.25M,Kansas St.,TCU,,FOX
11/8/2014,2.05M,Baylor,Oklahoma,,FS1
11/8/2014,1.91M,Virginia,FSU,,ESPN
11/8/2014,1.57M,Michigan,Northwestern,,ESPN2
11/8/2014,1.32M,West Virginia,Texas,,FS1
11/8/2014,1.05M,Iowa,Minnesota,,ESPN2
11/8/2014,848K,Wisconsin,Purdue,,ESPNU
11/8/2014,574K,UCLA,Washington,,FS1
11/8/2014,433K,Louisville,Boston College,,ESPN2
11/8/2014,154K,Tulane,Houston,,ESPNU
11/8/2014,140K,Hawaii,Colorado St.,,ESPNU
10/30/2014,4.97M,FSU,Louisville,,ESPN
10/30/2014,85K,Troy,Georgia Southern,,ESPNU
10/31/2014,648K,Cincinnati,Tulane,,ESPN2
10/31/2014,249K,Tulsa,Memphis,,ESPNU
11/1/2014,5.71M,Florida,Georgia,,CBS
11/1/2014,5.80M,Auburn,Mississippi,,ESPN
11/1/2014,4.43M,TCU,West Virginia or Purdue,Nebraska,ABC
11/1/2014,3.89M,Notre Dame,Navy,,CBS
11/1/2014,3.62M,Illinois,Ohio State or Oklahoma St.,Kansas St.,ABC
11/1/2014,2.55M,Arizona,UCLA,,ESPN
11/1/2014,2.48M,Stanford,Oregon,,FOX
11/1/2014,2.30M,Arkansas,Mississippi State,,ESPN2
11/1/2014,1.94M,Wisconsin,Rutgers,,ESPN
11/1/2014,1.71M,Maryland,Penn State,,ESPN2
11/1/2014,1.66M,Air Force,Army,,CBS
11/1/2014,1.02M,ABC reverse mirror,,,ESPN2
11/1/2014,863K,Duke,Pittsburgh,,ESPNU
11/1/2014,792K,Utah,Arizona State,,FS1
11/1/2014,763K,Oklahoma,Iowa State,,FS1
11/1/2014,791K,Texas,Texas Tech,,FS1
11/1/2014,414K,Wyoming,Fresno State,,ESPN2
11/1/2014,390K,Virginia,Ga. Tech,,ESPNU
11/1/2014,322K,Kansas,Baylor,,FS1
11/1/2014,257K,ECU,Temple,,ESPNEWS
11/1/2014,68K,Houston,USF,,ESPNEWS
11/1/2014,63K,Old Dominion,Vanderbilt,,ESPNU
10/21/2014,374K,Arkansas St.,UL-Lafayette,,ESPN2
10/23/2014,1.22M,Miami,Virginia Tech,,ESPN
10/23/2014,395K,UConn,ECU,,ESPNU
10/24/2014,1.18M,Oregon,Cal,,FS1
10/24/2014,1.02M,BYU,Boise St.,,ESPN
10/24/2014,576K,USF,Cincinnati,,ESPN2
10/24/2014,105K,Troy,South Alabama,,ESPNU
10/25/2014,5.00M,Mississippi St.,Kentucky,,CBS
10/25/2014,4.95M,Mississippi,LSU,,ESPN
10/25/2014,4.67M,Ohio State,Penn St.,,ABC
10/25/2014,3.80M,Michigan,Michigan St.,,ABC
10/25/2014,3.06M,Texas,Kansas State,,ESPN
10/25/2014,2.59M,Alabama,Tennessee,,ESPN2
10/25/2014,1.78M,West Virginia,Oklahoma St.,,ESPN
10/25/2014,1.76M,Arizona St.,Washington,,ESPN
10/25/2014,1.17M,Texas Tech,TCU,,FOX
10/25/2014,1.13M,Rutgers,Nebraska,,ESPN2
10/25/2014,767K,USC,Utah,,FS1
10/25/2014,731K,Oregon St.,Stanford,,ESPN2
10/25/2014,633K,Minnesota,Illinois,,ESPNU
10/25/2014,614K,Syracuse,Clemson,,ESPNU
10/25/2014,352K,Georgia Tech,Pittsburgh,,ESPNU
10/25/2014,138K,UNLV,Utah State,,ESPNEWS
10/25/2014,137K,FAU,Marshall,,FS1
10/25/2014,87K,Memphis,SMU,,ESPNEWS
10/14/2014,436K,UL-Lafayette,Texas St.,,ESPN2
10/16/2014,1.36M,Virginia Tech,Pittsburgh,,ESPN
10/16/2014,86K,Utah,Oregon St.,,"FS2, Pac-12"
10/17/2014,1.62M,Fresno St.,Boise St.,,ESPN
10/17/2014,250K,Temple,Houston,,ESPNU
10/18/2014,13.25M,Notre Dame,FSU,,ABC
10/18/2014,4.20M,Texas A&M,Alabama,,CBS
10/18/2014,3.80M,Rutgers,Ohio State or UCLA,Cal,ABC
10/18/2014,3.39M,Kansas St.,Oklahoma,,ESPN
10/18/2014,2.70M,Tennessee,Mississippi,,ESPN
10/18/2014,2.17M,Michigan St.,Indiana,,ESPN
10/18/2014,1.64M,Baylor,West Virginia,,FS1
10/18/2014,1.31M,Stanford,Arizona St.,,ESPN
10/18/2014,1.16M,Missouri,Florida,,ESPN2
10/18/2014,1.01M,Oklahoma St.,TCU,,FS1
10/18/2014,1.13M,Washington,Oregon,,FS1
10/18/2014,770K,Iowa,Maryland,,ESPN2
10/18/2014,710K,ABC reverse mirror,,,ESPN2
10/18/2014,559K,Clemson,Boston College,,ESPNU
10/18/2014,461K,Georgia Tech,North Carolina,,ESPNU
10/18/2014,404K,Nevada,BYU,,ESPN2
10/18/2014,109K,Tulane,UCF,,ESPNU
10/18/2014,84K,USF,Tulsa,,ESPNEWS
10/9/2014,1.34M,BYU,UCF,,ESPN
10/10/2014,1.31M,Wash. St.,Stanford,,ESPN
10/10/2014,163K,San Diego St.,New Mexico,,ESPNU
10/11/2014,6.00M,Auburn,Mississippi St.,,CBS
10/11/2014,4.38M,TCU,Baylor or Michigan St.,Purdue,ABC
10/11/2014,4.24M,Texas,Oklahoma,,ABC
10/11/2014,4.09M,Mississippi,Texas A&M,,ESPN
10/11/2014,3.65M,Alabama,Arkansas,,ESPN
10/11/2014,3.19M,North Carolina,Notre Dame,,NBC
10/11/2014,2.99M,Georgia,Missouri,,CBS
10/11/2014,2.36M,Penn St.,Michigan,,ESPN2
10/11/2014,1.95M,FSU,Syracuse,,ESPN
10/11/2014,1.79M,USC,Arizona,,ESPN2
10/11/2014,1.75M,Oregon,UCLA,,FOX
10/11/2014,1.05M,Illinois,Wisconsin,,ESPN2
10/11/2014,568K,Louisville,Clemson,,ESPNU
10/11/2014,518K,West Virginia,Texas Tech,,FS1
10/11/2014,465K,ABC Reverse Mirror,,,ESPN2
10/11/2014,375K,Indiana,Iowa,,ESPNU
10/11/2014,320K,ECU,USF,,ESPNU
10/11/2014,296K,Oklahoma St.,Kansas,,FS1
10/11/2014,162K,Air Force,Utah State,,ESPNU
10/11/2014,129K,UConn,Tulane,,ESPNEWS
10/11/2014,77K,Tulsa,Temple,,ESPNEWS
10/2/2014,2.38M,Arizona,Oregon,,ESPN
10/2/2014,744K,UCF,Houston,,ESPN
10/3/2014,1.64M,Louisville,Syracuse,,ESPN
10/3/2014,1.17M,Utah St.,BYU,,ESPN
10/4/2014,5.92M,Alabama,Mississippi,,CBS
10/4/2014,4.56M,Nebraska,Michigan St.,,ABC
10/4/2014,4.10M,Texas A&M,Mississippi St.,,ESPN
10/4/2014,3.58M,Wake Forest,FSU or Baylor,Texas,ABC
10/4/2014,3.40M,Stanford,Notre Dame,,NBC
10/4/2014,3.35M,Ohio St.,Maryland,,ABC
10/4/2014,3.74M,LSU,Auburn,,ESPN
10/4/2014,2.29M,Arizona State,USC,,FOX
10/4/2014,2.21M,Oklahoma,TCU,,FOX
10/4/2014,2.03M,Utah,UCLA,,ESPN
10/4/2014,1.26M,Wisconsin,Northwestern,,ESPN2
10/4/2014,1.13M,Miami,Ga. Tech,,ESPN2
10/4/2014,585K,Purdue,Illinois,,ESPN2
10/4/2014,511K,Iowa St.,Oklahoma St.,,FS1
10/4/2014,445K,N.C. State,Clemson,,ESPNU
10/4/2014,480K,Texas Tech,Kansas State,,ESPNU
10/4/2014,147K,SMU,ECU,,ESPNU
