Viewers,Away,Home,Date,Network
3.311M,Ole Miss,Memphis,10/17/15,ABC
7.967M,Wisconsin,Alabama,9/5/15,ABC
11.063M,LSU,Alabama,11/7/15,CBS
12.760M,Alabama,Florida,12/5/15,CBS
2.390M,Missouri,Arkansas,11/27/15,CBS
2.571M,Georgia,Vanderbilt,9/12/15,CBS
2.955M,Georgia,Auburn,11/14/15,CBS
2.977M,Arkansas,Ole Miss,11/7/15,CBS
3.163M,LSU,Ole Miss,11/21/15,CBS
4.010M,Louisville,Auburn,9/5/15,CBS
4.228M,Auburn,LSU,9/19/15,CBS
4.641M,Tennessee,Florida,9/26/15,CBS
4.884M,Georgia,Tennessee,10/10/15,CBS
5.015M,Georgia,Florida,10/31/15,CBS
5.403M,Alabama,Mississippi State,11/14/15,CBS
5.761M,Alabama,Texas A&M,10/17/15,CBS
6.965M,Tennessee,Alabama,10/24/15,CBS
7.045M,Alabama,Georgia,10/3/15,CBS
9.299M,Alabama,Auburn,11/28/15,CBS
1.189M,Mississippi State,Missouri,11/5/15,ESPN
1.736M,Florida,South Carolina,11/14/15,ESPN
2.082M,Mississippi State,Arkansas,11/21/15,ESPN
2.226M,Auburn,Kentucky,10/15/15,ESPN
2.471M,Arizona State,Texas A&M,9/5/15,ESPN
2.600M,LSU,South Carolina,10/10/15,ESPN
2.736M,Vanderbilt,Florida,11/7/15,ESPN
2.775M,Texas A&M,Ole Miss,10/24/15,ESPN
2.943M,Clemson,South Carolina,11/28/15,ESPN
3.112M,Texas A&M,Arkansas,9/26/15,ESPN
3.121M,LSU,Mississippi State,9/12/15,ESPN
3.189M,S. Carolina,Georgia,9/19/15,ESPN
3.204M,LSU,Syracuse,9/26/15,ESPN
3.495M,Ole Miss,Auburn,10/31/15,ESPN
3.601M,UNC,South Carolina,9/3/15,ESPN
3.638M,Arkansas,LSU,11/14/15,ESPN
3.745M,Ole Miss,Florida,10/3/15,ESPN
4.129M,Oklahoma,Tennessee,9/12/15,ESPN
4.280M,FSU,Florida,11/28/15,ESPN
4.835M,Arkansas,Alabama,10/10/15,ESPN
6.777M,Florida,LSU,10/17/15,ESPN
7.605M,Ole Miss,Alabama,9/19/15,ESPN
1.023M,Georgia,Ga. Tech,11/28/15,ESPN2
1.046M,ECU,Florida,9/12/15,ESPN2
1.348M,Tennessee,Missouri,11/21/15,ESPN2
1.914M,Texas Tech,Arkansas,9/19/15,ESPN2
2.164M,Mississippi State,Auburn,9/26/15,ESPN2
2.291M,Arkansas,Tennessee,10/3/15,ESPN2
392K,Vanderbilt,Houston,10/31/15,ESPN2
630K,Fresno State,Ole Miss,9/12/15,ESPN2
930K,Ole Miss,Mississippi State,11/28/15,ESPN2
754K,BGSU,Tenneseee,9/5/15,ESPNEWS*
1.247M,W. Kentucky,LSU,10/24/15,ESPNU
296K,W. Carolina,Texas A&M,11/14/15,ESPNU
310K,UL-Lafayette,Kentucky,9/5/15,ESPNU
380K,UCF,South Carolina,9/26/15,ESPNU
417K,UTEP,Arkansas,9/5/15,ESPNU
420K,Ball State,Texas A&M,9/12/15,ESPNU
499K,Vanderbilt,Ole Miss,9/26/15,ESPNU
763K,E. Michigan,LSU,10/3/15,ESPNU
825K,Michigan St.,W. Michigan,9/4/15,ESPNU
844K,W. Carolina,Tennessee,9/19/15,ESPNU
954K,Ga. Southern,Georgia,11/21/15,ESPNU
936K,LSU,Mississippi State,9/12/15,ESPNU*
511K,Mississippi State,So. Miss,9/5/15,FS1
