Date,Viewers,Away,Home,Conference,Network
1/7/16,1.562M,J. Madison,Youngstwn St.,FCS Champ.,ESPN2
1/9/16,25.266M,Clemson,Alabama,CFP Champ.,ESPN Megacast
1/2/16,15.740M,USC,Penn State,Rose Bowl,ESPN
1/2/16,9.515M,Oklahoma,Auburn,Sugar Bowl,ESPN
1/2/16,6.106M,Florida,Iowa,Outback Bowl,ABC
1/2/16,5.442M,Wisconsin,W. Michigan,Cotton Bowl,ESPN
12/26/16,3.019M,Boston Coll.,Maryland,Detroit Bowl,ESPN
12/26/16,2.045M,Mississippi State,Miami (OH),St. Pete Bowl,ESPN
12/26/16,1.270M,N.C. State,Vanderbilt,Indpndnc. Bowl,ESPN2
12/27/16,4.046M,Minnesota,Wash. St.,Holiday Bowl,ESPN
12/27/16,2.282M,Baylor,Boise. St.,Cactus Bowl,ESPN
12/27/16,2.100M,Wake Forest,Temple,Military Bowl,ESPN
12/27/16,1.615M,Army,North Texas,Dallas Bowl,ESPN
12/28/16,4.252M,Miami,W. Virginia,Russ. Ath. Bowl,ESPN
12/28/16,3.791M,K-State,Texas A&M,Texas Bowl,ESPN
12/28/16,2.628M,Utah,Indiana,San Fran. Bowl,FOX
12/28/16,2.425M,N’Western,Pittsburgh,Pinstripe Bowl,ESPN
12/29/16,4.963M,Va. Tech,Arkansas,Belk Bowl,ESPN
12/29/16,4.551M,Okla. St.,Colorado,Alamo Bowl,ESPN
12/29/16,2.308M,USF,S. Carolina,Birminghm. Bowl,ESPN
12/30/16,11.461M,FSU,Michigan,Orange Bowl,ESPN
12/30/16,5.026M,Tennessee,Nebraska,Music City Bowl,ESPN
12/30/16,3.128M,Georgia,TCU,Liberty Bowl,ESPN
12/30/16,2.926M,Stanford,UNC,Sun Bowl,CBS
12/31/16,19.344M,Alabama,Washington,Peach Bowl,ESPN
12/31/16,,Washington,,,ESPN2
12/31/16,19.237M,Clemson,Ohio State,Fiesta Bowl,ESPN
12/31/16,,Ohio State,,,ESPN2
12/31/16,6.390M,LSU,Louisville,Citrus Bowl,ABC
12/31/16,2.647M,Ga. Tech,Kentucky,Gator Bowl,ESPN
12/19/16,794K,Tulsa,CMU,M. Beach Bowl,ESPN
12/20/16,1.581M,WKU,Memphis,Boca Bowl,ESPN
12/21/16,2.380M,BYU,Wyoming,Poinsettia Bowl,ESPN
12/22/16,1.143M,Idaho,Colorado St.,Potato Bowl,ESPN
12/23/16,2.512M,Ohio,Troy,Mobile Bowl,ESPN
12/23/16,2.341M,La. Tech,Navy,A. Forces Bowl,ESPN
12/23/16,1.371M,ODU,E. Michigan,Bahamas Bowl,ESPN
12/24/16,1.359M,Hawaii,MTSU,Hawaii Bowl,ESPN
12/16/16,1.065M,JMU,NDSU,FCS semis,ESPN2
12/16/16,340K,Mry Hrdn-Baylor,UW-Oshkosh,D-III Champ.,ESPNU
12/17/16,3.744M,SDSU,Houston,Vegas Bowl,ABC
12/17/16,2.711M,Grambling,N.C. Central,Celeb. Bowl,ABC
12/17/16,1.483M,App. State,Toledo,Camellia Bowl,ESPN
12/17/16,1.391M,New Mexico,UTSA,N. Mexico Bowl,ESPN
12/17/16,1.335M,Southern Miss,UL-Lafayette,N. Orlns. Bowl,ESPN
12/17/16,790K,NW Missouri St.,North Alabama,D-II Champ.,ESPN2
12/17/16,457K,E. Washington,Youngstown St.,FCS semis,ESPNU
12/9/16,509K,Sam Houston St.,JMU,FCS qtrs,ESPN2
12/10/16,7.940M,Army,Navy,Ind.,CBS
12/10/16,2.638M,Heisman Trophy,Presentation,,ESPN
12/10/16,1.984M,South Dakota St.,North Dakota St.,FCS qtrs,ESPN
11/29/16,1.188M,CFP Rankings Show,,,ESPN
12/2/16,5.671M,Washington,Colorado,Pac-12 Champ.,FOX
12/2/16,1.358M,W. Michigan,Ohio,MAC Champ.,ESPN2
12/3/16,11.093M,Alabama,Florida,SEC Champ.,CBS
12/3/16,9.189M,Penn State,Wisconsin,B1G Champ.,FOX
12/3/16,5.338M,Clemson,Va. Tech,ACC Champ.,ABC
12/3/16,4.817M,Oklahoma,Oklahoma St.,Big 12,FOX
12/3/16,2.050M,Temple,Navy,AAC Champ.,ABC
12/3/16,1.011M,Baylor,W. Virginia,Big 12,FS1
12/3/16,926K,WKU,La. Tech,C-USA Champ.,ESPN
12/3/16,713K,SDSU,Wyoming,MWC Champ.,ESPN
12/3/16,431K,K-State,TCU,Big 12,FS1
12/3/16,269K,Troy,Ga. Southern,Sun Belt,ESPN2
12/3/16,228K,Ark. State,Texas State,Sun Belt,ESPN2
12/3/16,160K,Grambling,Alcorn St.,SWAC Champ.,ESPNU
12/4/16,1.328M,CFP Selection Show,,,ESPN
11/22/16,991K,CFP Rankings Show,,,ESPN
11/22/16,277K,Akron,Ohio,MAC,ESPNU
11/24/16,2.774M,LSU,Texas A&M,SEC,ESPN
11/25/16,4.169M,Nebraska,Iowa,Big Ten,ABC
11/25/16,3.093M,Houston,Memphis,American,ABC
11/25/16,2.818M,Washington,Wash. St.,Pac-12,FOX
11/25/16,2.498M,Arkansas,Missouri,SEC,CBS
11/25/16,1.787M,Baylor,Texas Tech,Big 12,ESPN
11/25/16,1.672M,Arizona St.,Arizona,Pac-12,ESPN
11/25/16,1.384M,N.C. State,UNC,ACC,ESPN
11/25/16,986K,TCU,Texas,Big 12,FS1
11/25/16,665K,Toledo,W. Michigan,MAC,ESPN2
11/25/16,526K,Cincinnati,Tulsa,American,ESPN2
11/26/16,16.841M,Michigan,Ohio State,Big Ten,ABC
11/26/16,8.242M,Auburn,Alabama,SEC,CBS
11/26/16,6.437M,Florida,FSU,SEC,ABC
11/26/16,5.695M,Notre Dame,USC,Ind,ABC
11/26/16,3.715M,Michigan St.,Penn State,Big Ten,ESPN
11/26/16,3.060M,Utah,Colorado,Pac-12,FOX
11/26/16,2.656M,South Carolina,Clemson,SEC,ESPN
11/26/16,2.614M,College Gameday,From Ohio State,,ESPN
11/26/16,1.564M,Kentucky,Louisville,SEC,ESPN
11/26/16,862K,College Gameday,Bonus coverage (7-9 AM),,ESPN
11/26/16,594K,W. Virginia,Iowa St.,Big 12,FS1
11/26/16,579K,UCLA,Cal,Pac-12,ESPN2
11/26/16,505K,Duke,Miami,ACC,ESPN2
11/26/16,453K,Virginia,Va. Tech,ACC,ESPN2
11/26/16,333K,Wyoming,New Mexico,MWC,ESPN2
11/26/16,320K,Utah State,BYU,MWC,ESPNU
11/26/16,264K,Kansas,K-State,Big 12,FS1
11/26/16,200K,Grambling,Southern,SWAC,NBCSN
11/26/16,181K,Purdue,Indiana,Big Ten,ESPNU
11/26/16,133K,WKU,Marshall,C-USA,ESPNU
11/26/16,121K,Navy,SMU,American,ESPNU
11/26/16,4K,FAU,Mid. Tenn.,C-USA,beIN
11/15/16,2.651M,CFP Rankings Show,,,ESPN
11/15/16,386K,Ohio,C. Michigan,MAC,ESPN2
11/15/16,74K,Kent State,Bowl. Green,MAC,ESPNU
11/16/16,423K,Ball State,Toledo,MAC,ESPN2
11/16/16,135K,N. Illinois,E. Michigan,MAC,ESPNU
11/17/16,2.432M,Louisville,Houston,ACC,ESPN
11/17/16,109K,Ark. State,Troy,Sun Belt,ESPNU
11/18/16,763K,UNLV,Boise State,MWC,ESPN2
11/19/16,5.843M,Ohio State,Michigan State,Big Ten,ESPN
11/19/16,4.769M,Indiana,Michigan,Big Ten,ESPN
11/19/16,3.825M,Oklahoma St.,W. Virginia,Big 12,ABC
11/19/16,2.568M,FSU/SYR or,TEX/KAN,ACC,ABC
11/19/16,2.453M,Missouri,Tennessee,SEC,CBS
11/19/16,2.449M,Va. Tech,Notre Dame,ACC,NBC
11/19/16,2.437M,Chattanooga,Alabama,FCS,ESPN2
11/19/16,2.301M,USC,UCLA,Pac-12,ESPN
11/19/16,2.181M,Arizona St.,Washington,Pac-12,FOX
11/19/16,2.114M,Wash. St.,Colorado,Pac-12,FOX
11/19/16,2.082M,College Gameday,From WMU,,ESPN
