TOP TEN GAMES,,,,,
Viewers,TV + Streaming,Away,Home,Date,Network
13.66M,,UGA,AUB,12/2/2017,CBS
13.47M,,ALA,AUB,11/25/2017,CBS
12.92M,,OSU,WISC,12/2/2017,FOX
12.34M,,ALA,FSU,9/2/2017,ABC
10.51M,,OSU,MICH,11/25/2017,FOX
9.87M,,PSU,OSU,10/28/2017,FOX
8.42M,,ARMY,NAVY,12/9/2017,CBS
8.08M,,MCIH,UF,9/2/2017,ABC
7.65M,,OU,OSU,9/9/2017,ABC
7.41M,,UGA,AUB,11/11/2017,CBS
,,,,,
Viewers,TV + Streaming,Away,Home,Date,Network
8.419M,,Army,Navy,12/8/2017,CBS
,(1.063M),College Gameday,From Army-Navy,12/8/2017,ESPN
13.466M,,Georgia,Auburn,12/2/2017,CBS
12.918M,,Ohio State,Wisconsin,12/2/2017,FOX
5.896M,,Oklahoma,TCU,12/2/2017,FOX
5.428M,,Clemson,Miami,12/2/2017,ABC
,(3.657M),USC,Stanford,12/1/2017,ESPN
3.385M,,UCF,Memphis,12/2/2017,ABC
,(1.856M),College Gameday,From ACC Championship,12/2/2017,ESPN
,(652K),Toledo,Akron,12/2/2017,ESPN
,(623K),Boise St.,Fresno St.,12/2/2017,ESPN
,(255K),No. Texas,FAU,12/2/2017,ESPN2
,(225K),Troy,Ark. State.,12/2/2017,ESPN2
13.657M,,Alabama,Auburn,11/25/2017,CBS
10.507M,,Ohio State,Michigan,11/25/2017,FOX
5.263M,(5.332M),Notre Dame,Stanford,11/25/2017,ABC
4.644M,(4.700M),USF,UCF,11/24/2017,ABC
4.562M,(4.663M),Miami,Pittsburgh,11/24/2017,ABC
,(4.032M),Clemson,So. Carolina,11/25/2017,ESPN
3.609M,,Texas Tech,Texas,11/24/2017,FOX
2.766M,,Georgia,Ga. Tech,11/25/2017,ABC
2.600M,,Wisconsin,Minnesota,11/25/2017,ABC
2.502M,,Missouri,Arkansas,11/24/2017,CBS
,(2.468M),Mississippi,Miss. St.,11/23/2017,ESPN
2.390M,,Wash. St.,Washington,11/25/2017,FOX
