,Top College Football TV Ratings of 2018,,,,,
Viewers,Viewers + Stream,Away,Home,Date,Network,
17.50M,,Alabama,Georgia,"12/1, 4:00p",CBS,
13.20M,,MICH,OSU,"11/24, Noon",FOX,
11.54M,,Alabama,LSU,"11/3, 8:00p",CBS,
10.16M,,OKLA,TEX,"12/1, Noon",ABC,
9.14M,,OSU,PSU,"9/29, 7:30p",ABC,
9.13M,,Auburn,Alabama,"11/24, 3:30p",CBS,
8.66M,,OSU,NWSTN,"12/1, 8:00p",FOX,
8.05M,,Army,Navy,"12/8, 3:00p",CBS,
7.74M,,ND,USC,"11/24, 8:00p",ABC,
7.23M,,OSU,TCU,"9/15, 8:00p",ABC,
,,,,,,
Viewers,Viewers + Stream,Away,Home,Date,Network,
8.050M,,Army,Navy,"12/8, 3:00p",CBS,
,(1.806M),COLG,NDSU,"12/8, Noon",ESPN,
,(985K),College Gameday,,"12/8, 9:00a",ESPN,
,(566K),Maine,WEB ST,"12/7, 8:00p",ESPN2,
17.499M,,Alabama,Georgia,"12/1, 4:00p",CBS,
10.155M,(10.299M),OKLA-Texas,Texas,"12/1, Noon",ABC,
8.659M,,OSU-NWSTN,NWSTN,"12/1, 8:15p",FOX,
4.236M,,CLEM-Pitt,Pitt,"12/1, 8:00p",ABC,
4.059M,,WASH-Utah,Utah,"11/30, 8:20p",FOX,
3.321M,,UCF-MEM,MEM,"12/1, 3:50p",ABC,
,(1.796M),College Gameday,Gameday,"12/1, 9:00a",ESPN,
,(1.036M),FRES ST-Boise,Boise,"12/1, 7:50p",ESPN,
,(898K),LOU-APP ST,APP ST,"12/1, Noon",ESPN,
,(587K),NIU-Buffalo,Buffalo,"11/30, 7:00p",ESPN2,
13.200M,(13.345M),MICH-OSU,OSU,"11/24, Noon",FOX,
9.132M,,Auburn,Alabama,"11/24, 3:30p",CBS,
7.736M,(7.809M),ND-USC,USC,"11/24, 8:00p",ABC,
,(5.630M),OKLA-WVU,WVU,"11/23, 8:00p",ESPN,
4.082M,(4.109M),WSH-WSH ST,WSH ST,"11/23, 8:00p",FOX,
3.664M,,NEB-Iowa,Iowa,"11/23, Noon",FOX,
3.553M,,UVA-VT,VT,"11/23, 3:30p",ABC,
,(3.261M),SC-CLEM,CLEM,"11/24, 7:00p",ESPN,
3.038M,,RUTG-MSU,MSU,"11/24, 4:00p",FOX,
2.380M,,UF-FSU,FSU,"11/24, Noon",ABC,
,(2.295M),College Gameday,Gameday,"11/24, 9:00a",ESPN,
2.176M,,MD-PSU,PSU,"11/24, 3:30p",ABC,
1.919M,,Arkansas,Missouri,"11/23, 2:30p",CBS,
,(1.741M),UCF-USF,USF,"11/23, 4:15p",ESPN,
1.615M,,OKLA ST-TCU,TCU,"11/24, 8:00p",FOX,
1.185M,,Texas-KU,KU,"11/23, Noon",FS1,
,(1.108M),Mississippi State,Ole Miss,"11/22, 7:20p",ESPN,
,(1.078M),UT ST-BOISE,BOISE,"11/24, 10:45p",ESPN,
,(1.031M),MINN-WISC,WISC,"11/24, 3:30p",ESPN2,
945K,,ORE-ORE ST,ORE ST,"11/23, 4:00p",FS1,
,(919K),PITT-Miami,Miami,"11/24, 3:30p",ESPN,
,(844K),Kentucky,Louisville,"11/24, 7:00p",ESPN2,
821K,,K ST-IA ST,IA ST,"11/24, 7:30p",FS1,
798K,,ASU-ARIZ,ARIZ,"11/24, 3:30p",FS1,
,(765K),SYR-BC,BC,"11/24, Noon",ESPN,
626K,,BYU-Utah,Utah,"11/24, 10:30p",FS1,
,(368K),PUR-IND,IND,"11/24, Noon",ESPN2,
,(333K),BYLR-TTU,TTU,"11/24, Noon",FS1,
n.a.,,HOU-MEM,MEM,"11/23, Noon",ABC,
n.a.,,HAW-SDSU,SDSU,"11/24, 10:30p",ESPNU,
n.a.,,SJSU-FRES ST,FRES ST,"11/24, 7:00p",ESPNU,
n.a.,,Temple-UConn,UConn,"11/24, 3:30p",ESPNU,
n.a.,,Navy-Tulane,Tulane,"11/24, Noon",ESPNU,
n.a.,,NIU-WMU,WMU,"11/20, 7:00p",ESPNU,
5.588M,(5.685M),OSU-MD,MD,"11/17, Noon",ABC,
3.900M,(3.948M),WVU-OK ST,OK ST,"11/17, 4:00p",ABC,
3.098M,(3.124M),CIN-UCF,UCF,"11/17, 8:00p",ABC,
